Ni,Ti,Al,T_Ni3Ti
20.0,10.0,8.0,381.15
19.0,11.0,8.0,305.15
20.0,11.0,8.0,328.15
15.0,12.0,8.0,1473.15
15.0,13.0,8.0,1473.15
16.0,13.0,8.0,1473.15
17.0,13.0,8.0,1473.15
18.0,13.0,8.0,1473.15
15.0,14.0,8.0,1473.15
16.0,14.0,8.0,1473.15
19.0,14.0,8.0,1473.15
15.0,15.0,8.0,1473.15
16.0,15.0,8.0,1473.15
17.0,15.0,8.0,1473.15
18.0,15.0,8.0,1473.15
19.0,15.0,8.0,1473.15
20.0,15.0,8.0,1473.15
15.0,2.0,9.0,492.15
16.0,2.0,9.0,507.15
17.0,2.0,9.0,500.15
18.0,2.0,9.0,494.15
19.0,2.0,9.0,489.15
20.0,2.0,9.0,485.15
15.0,3.0,9.0,456.15
16.0,3.0,9.0,473.15
17.0,3.0,9.0,489.15
18.0,3.0,9.0,504.15
19.0,3.0,9.0,520.15
20.0,3.0,9.0,534.15
15.0,4.0,9.0,416.15
16.0,4.0,9.0,434.15
17.0,4.0,9.0,452.15
18.0,4.0,9.0,468.15
19.0,4.0,9.0,485.15
20.0,4.0,9.0,501.15
15.0,5.0,9.0,374.15
16.0,5.0,9.0,392.15
17.0,5.0,9.0,411.15
18.0,5.0,9.0,429.15
19.0,5.0,9.0,447.15
20.0,5.0,9.0,464.15
15.0,6.0,9.0,328.15
16.0,6.0,9.0,347.15
17.0,6.0,9.0,367.15
18.0,6.0,9.0,386.15
19.0,6.0,9.0,405.15
20.0,6.0,9.0,424.15
16.0,7.0,9.0,299.15
17.0,7.0,9.0,319.15
18.0,7.0,9.0,340.15
19.0,7.0,9.0,360.15
20.0,7.0,9.0,379.15
19.0,8.0,9.0,311.15
20.0,8.0,9.0,331.15
15.0,10.0,9.0,1447.15
15.0,11.0,9.0,1473.15
16.0,11.0,9.0,1468.743
17.0,11.0,9.0,1461.15
18.0,11.0,9.0,1454.15
19.0,11.0,9.0,1446.55
15.0,12.0,9.0,1473.15
16.0,12.0,9.0,1473.15
17.0,12.0,9.0,1473.15
20.0,12.0,9.0,1456.15
15.0,13.0,9.0,1473.15
16.0,13.0,9.0,1473.15
17.0,13.0,9.0,1473.15
18.0,13.0,9.0,1473.15
19.0,13.0,9.0,1473.15
20.0,13.0,9.0,1469.15
15.0,14.0,9.0,1473.15
16.0,14.0,9.0,1473.15
17.0,14.0,9.0,1473.15
18.0,14.0,9.0,1473.15
19.0,14.0,9.0,1473.15
20.0,14.0,9.0,1473.15
15.0,15.0,9.0,1473.15
16.0,15.0,9.0,1473.15
17.0,15.0,9.0,1473.15
18.0,15.0,9.0,1473.15
19.0,15.0,9.0,1473.15
20.0,15.0,9.0,1473.15
15.0,2.0,10.0,354.15
16.0,2.0,10.0,348.15
17.0,2.0,10.0,343.15
18.0,2.0,10.0,339.15
19.0,2.0,10.0,336.15
20.0,2.0,10.0,334.15
15.0,3.0,10.0,331.15
16.0,3.0,10.0,348.15
17.0,3.0,10.0,366.15
18.0,3.0,10.0,384.15
19.0,3.0,10.0,401.15
20.0,3.0,10.0,418.15
16.0,4.0,10.0,305.15
17.0,4.0,10.0,323.15
18.0,4.0,10.0,341.15
19.0,4.0,10.0,360.15
20.0,4.0,10.0,377.15
